Ocupacion,Record Count
Campesino,4941
Trabajador de Finca,4739
Trabajo Sin Especificar,2303
Comerciante,2064
Economia Informal,1638
Empleado,1497
Conductor/Motorista,1293
Otra Â¿Cual?,1137
Obrero,973
Desempleado,805
Estudiante,791
Fuerza Publica,669
Paramilitar,452
Pescador,377
Minero,303
Administrador de Finca,275
Raspachin,273
Funcionario Publico,249
Seguridad Privada,235
Profesional,234
Ganadero/Hacendado,186
No Aplica,143
Delincuente,128
Guerrillero,105
Personal de Salud,94
Ama de Casa,79
Religioso,41
Trabajador(a) Sexual,38
Empresario - Industrial,23
Pensionado,21
Miembro de Grupo Posdesmovilizacion,2
