Departamento,Record Count
ANTIOQUIA,19822
META,5280
MAGDALENA,3912
VALLE DEL CAUCA,3908
CESAR,3757
SANTANDER,3672
SIN INFORMACION,3596
CAQUETÁ,3301
NORTE DE SANTANDER,3002
PUTUMAYO,2942
BOLÍVAR,2822
CÓRDOBA,2713
NARIÑO,2321
GUAVIARE,1793
ARAUCA,1699
CALDAS,1698
TOLIMA,1657
CHOCÓ,1596
CAUCA,1517
CUNDINAMARCA,1481
CASANARE,1215
BOYACÁ,1128
"BOGOTÁ, D.C.",1098
SUCRE,945
LA GUAJIRA,868
HUILA,752
ATLÁNTICO,705
RISARALDA,649
VICHADA,363
QUINDIO,285
VAUPÉS,73
EXTERIOR,65
GUAINÍA,41
AMAZONAS,31
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4