Departamento,AÃ±o,Mes,Dia,Sexo,Edad,Calidad de la Victima
MAGDALENA,2004,7,24,Mujer,19.0,Civil
CAQUETA,2001,8,30,Mujer,30.0,Civil
ANTIOQUIA,2014,3,10,Mujer,32.0,Civil
CESAR,2012,10,8,Mujer,23.0,Civil
MAGDALENA,2004,8,8,Hombre,42.0,Civil
NARINO,2005,7,5,Mujer,31.0,Civil
CASANARE,2002,8,20,Mujer,18.0,Civil
META,1990,8,22,Mujer,11.0,Civil
CAQUETA,2000,11,26,Mujer,22.0,Civil
CUNDINAMARCA,2000,2,1,Mujer,49.0,Civil
META,2006,6,1,Mujer,12.0,Civil
TOLIMA,2010,1,5,Mujer,19.0,Civil
RISARALDA,2002,1,22,Mujer,11.0,Civil
CAUCA,2011,6,4,Mujer,23.0,Civil
LA GUAJIRA,2005,1,21,Mujer,10.0,Civil
ANTIOQUIA,2004,8,28,Mujer,36.0,Civil
META,2004,2,27,Mujer,30.0,Civil
CAUCA,2001,11,5,Mujer,17.0,Civil
BOYACA,1979,10,17,Hombre,24.0,Civil
CAUCA,2001,3,15,Mujer,34.0,Civil
ANTIOQUIA,1998,1,1,Mujer,17.0,Civil
ARAUCA,2005,6,1,Mujer,15.0,Civil
PUTUMAYO,2003,1,9,Mujer,7.0,Civil
META,2009,3,9,Mujer,13.0,Civil
ANTIOQUIA,2008,2,7,Mujer,24.0,Civil
CAQUETA,1999,1,15,Mujer,5.0,Civil
NARINO,2003,6,20,Mujer,24.0,Civil
CAUCA,1991,9,1,Hombre,9.0,Civil
ANTIOQUIA,2002,8,24,Mujer,15.0,Civil
MAGDALENA,2000,8,27,Mujer,20.0,Civil
TOLIMA,2001,1,1,Mujer,3.0,Civil
CESAR,2002,4,18,Mujer,18.0,Civil
VALLE DEL CAUCA,2014,4,19,Hombre,53.0,Civil
META,2004,3,25,Mujer,24.0,Civil
SIN INFORMACION,2000,6,15,Mujer,16.0,Civil
CAQUETA,2001,5,28,Mujer,11.0,Civil
CAQUETA,2001,8,20,Mujer,22.0,Civil
MAGDALENA,2006,1,9,Mujer,16.0,Civil
LA GUAJIRA,2014,3,4,Mujer,44.0,Civil
SIN INFORMACION,2002,12,23,Mujer,14.0,Civil
NARINO,2015,2,17,Mujer,25.0,Civil
ANTIOQUIA,2003,11,3,Mujer,14.0,Civil
BOYACA,1991,4,7,Hombre,23.0,Civil
ANTIOQUIA,2013,1,5,Mujer,33.0,Civil
CESAR,2001,2,15,Mujer,14.0,Civil
CHOCO,2014,3,15,Mujer,23.0,Civil
CAUCA,2014,8,5,Mujer,29.0,Civil
TOLIMA,2011,1,20,Mujer,9.0,Civil
NARINO,2014,11,8,Mujer,21.0,Civil
CUNDINAMARCA,2010,12,10,Mujer,19.0,Civil
TOLIMA,2003,3,1,Hombre,13.0,Combatiente
NORTE DE SANTANDER,2002,11,17,Mujer,45.0,Civil
PUTUMAYO,2000,12,22,Mujer,35.0,Civil
PUTUMAYO,2001,3,20,Mujer,29.0,Civil
CAUCA,1985,11,16,Mujer,18.0,Civil
RISARALDA,2010,6,15,Mujer,12.0,Civil
RISARALDA,2001,11,5,Mujer,18.0,Civil
BOLIVAR,2000,1,20,Mujer,34.0,Civil
ANTIOQUIA,2005,6,18,Hombre,16.0,Civil
CESAR,2003,11,15,Hombre,37.0,Civil
CAUCA,2000,9,20,Mujer,21.0,Civil
NARINO,2002,9,15,Mujer,22.0,Civil
PUTUMAYO,2003,2,15,Mujer,14.0,Civil
ANTIOQUIA,1997,11,14,Mujer,34.0,Civil
NORTE DE SANTANDER,2003,8,2,Mujer,8.0,Civil
CHOCO,2000,5,6,Mujer,11.0,Civil
CASANARE,2003,2,2,Mujer,14.0,Civil
MAGDALENA,2004,6,1,Mujer,40.0,Civil
LA GUAJIRA,2008,5,30,Mujer,42.0,Civil
PUTUMAYO,2014,10,7,Hombre,44.0,Civil
MAGDALENA,2004,10,6,Mujer,35.0,Civil
PUTUMAYO,2004,8,18,Mujer,9.0,Civil
VALLE DEL CAUCA,2013,5,30,Mujer,31.0,Civil
META,2007,10,7,Mujer,6.0,Civil
CHOCO,2005,10,20,Mujer,30.0,Civil
ANTIOQUIA,2001,9,24,Mujer,34.0,Civil
ARAUCA,2000,8,20,Mujer,20.0,Civil
VALLE DEL CAUCA,2014,4,3,Mujer,20.0,Civil
CESAR,2007,1,16,Mujer,13.0,Civil
ANTIOQUIA,2008,11,11,Mujer,21.0,Civil
MAGDALENA,2004,8,17,Mujer,38.0,Civil
BOLIVAR,2000,4,28,Mujer,17.0,Civil
ANTIOQUIA,1999,1,15,Mujer,39.0,Civil
MAGDALENA,1999,3,13,Mujer,21.0,Civil
CESAR,2004,9,14,Mujer,24.0,Civil
ANTIOQUIA,1994,11,9,Mujer,16.0,Civil
ANTIOQUIA,2000,12,1,Mujer,46.0,Civil
META,2014,5,20,Mujer,50.0,Civil
MAGDALENA,2002,10,3,Mujer,32.0,Civil
ANTIOQUIA,2004,9,15,Mujer,23.0,Civil
NARINO,2010,7,10,Mujer,36.0,Civil
BOLIVAR,2002,11,15,Mujer,28.0,Civil
ANTIOQUIA,2003,10,1,Mujer,35.0,Civil
SANTANDER,0,0,0,Mujer,13.0,Civil
BOLIVAR,2002,6,23,Mujer,31.0,Civil
CAUCA,2013,9,1,Mujer,53.0,Civil
VALLE DEL CAUCA,2006,4,29,Mujer,15.0,Civil
BOLIVAR,2014,7,21,Mujer,47.0,Civil
ANTIOQUIA,2008,2,5,Mujer,20.0,Civil
PUTUMAYO,2001,8,18,Mujer,50.0,Civil
ANTIOQUIA,1997,3,7,Mujer,17.0,Civil
MAGDALENA,2001,8,12,Mujer,30.0,Civil
NARINO,2006,5,17,Mujer,11.0,Civil
SIN INFORMACION,2015,8,5,Mujer,12.0,Civil
VAUPES,2013,2,10,Mujer,38.0,Civil
VALLE DEL CAUCA,2006,10,31,Mujer,41.0,Civil
MAGDALENA,2000,6,10,Mujer,33.0,Civil
CAUCA,2004,11,2,Mujer,24.0,Civil
MAGDALENA,2002,3,31,Mujer,38.0,Civil
CASANARE,1997,8,2,Mujer,13.0,Civil
ANTIOQUIA,2010,4,21,Mujer,27.0,Civil
LA GUAJIRA,2014,3,5,Mujer,32.0,Civil
NARINO,2001,11,1,Mujer,16.0,Civil
CHOCO,1988,9,8,Mujer,12.0,Civil
ANTIOQUIA,1997,12,15,Mujer,14.0,Civil
BOLIVAR,2005,9,5,Mujer,38.0,Civil
CUNDINAMARCA,2004,11,1,Mujer,17.0,Civil
MAGDALENA,2000,2,19,Mujer,17.0,Civil
CAUCA,2014,8,5,Mujer,45.0,Civil
CESAR,2001,7,1,Mujer,21.0,Civil
CAQUETA,2002,11,5,Mujer,32.0,Civil
PUTUMAYO,2010,2,26,Mujer,55.0,Civil
MAGDALENA,2002,5,20,Mujer,43.0,Civil
MAGDALENA,2004,6,20,Mujer,36.0,Civil
ANTIOQUIA,2001,10,22,Mujer,16.0,Civil
NARINO,2013,11,12,Mujer,28.0,Civil
CAQUETA,2003,3,3,Mujer,19.0,Civil
PUTUMAYO,2002,8,5,Mujer,28.0,Civil
CAUCA,2010,6,10,Mujer,52.0,Civil
LA GUAJIRA,2002,3,17,Hombre,25.0,Civil
CALDAS,2013,7,1,Hombre,6.0,Civil
VALLE DEL CAUCA,2003,10,10,Mujer,32.0,Civil
CHOCO,2012,1,23,Mujer,56.0,Civil
MAGDALENA,2001,4,9,Mujer,18.0,Civil
ANTIOQUIA,2003,3,9,Mujer,18.0,Civil
MAGDALENA,2001,5,6,Mujer,41.0,Civil
NARINO,2003,5,18,Mujer,20.0,Civil
ANTIOQUIA,2005,6,15,Mujer,13.0,Civil
CASANARE,1999,7,1,Mujer,24.0,Civil
ANTIOQUIA,1997,12,31,Mujer,20.0,Civil
CAUCA,2006,8,3,Hombre,19.0,Civil
ANTIOQUIA,2005,10,10,Mujer,21.0,Civil
CHOCO,2004,9,9,Mujer,29.0,Civil
ANTIOQUIA,2006,5,14,Mujer,21.0,Civil
PUTUMAYO,2005,6,13,Mujer,21.0,Civil
CESAR,2013,6,19,Mujer,33.0,Civil
ANTIOQUIA,2000,9,1,Mujer,20.0,Civil
ANTIOQUIA,2003,4,15,Mujer,25.0,Civil
CAUCA,2015,1,10,Hombre,67.0,Civil
ANTIOQUIA,2010,3,16,Mujer,41.0,Civil
HUILA,2009,11,15,Mujer,28.0,Civil
NARINO,2005,1,1,Mujer,28.0,Civil
CESAR,2001,2,1,Mujer,18.0,Civil
BOLIVAR,2005,6,30,Mujer,17.0,Civil
TOLIMA,2002,3,15,Mujer,24.0,Civil
ANTIOQUIA,2007,1,1,Mujer,29.0,Civil
ANTIOQUIA,1994,1,21,Mujer,13.0,Civil
NARINO,2004,12,31,Mujer,38.0,Civil
CAQUETA,2001,12,10,Mujer,14.0,Civil
CESAR,1968,2,8,Mujer,6.0,Civil
NARINO,2002,5,20,Mujer,30.0,Civil
CHOCO,2010,1,1,Hombre,10.0,Civil
META,2002,11,1,Mujer,14.0,Civil
ANTIOQUIA,2000,1,1,Mujer,15.0,Civil
MAGDALENA,2008,2,10,Hombre,20.0,Civil
ANTIOQUIA,2004,1,2,Mujer,13.0,Civil
ANTIOQUIA,1998,1,1,Mujer,20.0,Civil
META,2002,2,16,Hombre,33.0,Civil
MAGDALENA,2006,12,1,Mujer,16.0,Civil
ANTIOQUIA,2000,1,1,Mujer,41.0,Civil
NARINO,2004,6,6,Mujer,30.0,Civil
ANTIOQUIA,2008,5,18,Mujer,19.0,Civil
ANTIOQUIA,1992,7,12,Mujer,7.0,Civil
CALDAS,2003,6,1,Mujer,21.0,Civil
HUILA,2002,10,2,Mujer,31.0,Civil
CESAR,2000,12,18,Mujer,17.0,Civil
META,2009,2,1,Mujer,23.0,Civil
CAUCA,2012,1,1,Mujer,31.0,Civil
VALLE DEL CAUCA,2012,3,3,Mujer,14.0,Civil
MAGDALENA,2000,7,16,Mujer,23.0,Civil
MAGDALENA,2006,8,5,Mujer,24.0,Civil
ANTIOQUIA,2000,5,16,Mujer,27.0,Civil
MAGDALENA,2000,1,15,Mujer,40.0,Civil
NORTE DE SANTANDER,2001,9,16,Mujer,39.0,Civil
ANTIOQUIA,2002,3,23,Mujer,32.0,Civil
CESAR,2006,9,28,Mujer,13.0,Civil
CHOCO,2014,11,12,Mujer,24.0,Civil
CALDAS,2007,1,1,Mujer,33.0,Civil
LA GUAJIRA,2014,5,16,Mujer,30.0,Civil
CUNDINAMARCA,1995,3,1,Mujer,20.0,Civil
MAGDALENA,2007,8,2,Mujer,24.0,Civil
SANTANDER,2005,1,1,Mujer,11.0,Civil
NARINO,2014,11,4,Mujer,37.0,Civil
HUILA,1994,11,25,Mujer,16.0,Civil
SUCRE,2005,12,25,Mujer,44.0,Civil
CALDAS,2003,2,3,Mujer,13.0,Civil
ANTIOQUIA,1990,8,15,Mujer,24.0,Civil
ANTIOQUIA,2005,7,15,Mujer,51.0,Civil
CASANARE,2003,2,16,Mujer,18.0,Civil
MAGDALENA,2014,10,28,Mujer,21.0,Civil
BOLIVAR,2003,5,7,Mujer,20.0,Civil
CAUCA,2011,1,9,Mujer,31.0,Civil
LA GUAJIRA,2008,5,5,Mujer,28.0,Civil
TOLIMA,2013,7,1,Mujer,21.0,Civil
NARINO,2006,1,1,Mujer,23.0,Civil
ANTIOQUIA,1995,1,1,Mujer,10.0,Civil
MAGDALENA,2001,2,3,Mujer,14.0,Civil
MAGDALENA,2002,10,17,Mujer,36.0,Civil
PUTUMAYO,2003,8,1,Mujer,15.0,Civil
PUTUMAYO,1995,8,25,Mujer,29.0,Civil
CHOCO,2003,3,10,Mujer,26.0,Civil
SANTANDER,2002,5,12,Mujer,15.0,Civil
CUNDINAMARCA,2002,2,1,Mujer,20.0,Civil
VALLE DEL CAUCA,2015,3,10,Mujer,34.0,Civil
NARINO,2009,12,20,Mujer,18.0,Civil
PUTUMAYO,2004,10,18,Mujer,21.0,Civil
TOLIMA,1988,1,1,Mujer,23.0,Civil
MAGDALENA,2003,3,18,Mujer,43.0,Civil
CHOCO,1996,12,28,Mujer,25.0,Civil
ANTIOQUIA,2002,6,6,Mujer,14.0,Civil
TOLIMA,2001,4,8,Hombre,24.0,Civil
CAQUETA,1991,5,25,Mujer,26.0,Civil
NARINO,2012,2,14,Mujer,37.0,Civil
BOLIVAR,1998,10,20,Mujer,27.0,Civil
ARAUCA,2003,5,5,Mujer,12.0,Civil
CORDOBA,2010,6,16,Mujer,15.0,Civil
CORDOBA,2014,10,28,Mujer,22.0,Civil
BOLIVAR,1992,9,1,Mujer,15.0,Civil
NARINO,2009,1,17,Mujer,16.0,Civil
BOLIVAR,1999,3,4,Mujer,18.0,Civil
MAGDALENA,2003,8,10,Mujer,17.0,Civil
PUTUMAYO,2000,9,15,Mujer,34.0,Civil
GUAVIARE,2001,3,18,Mujer,14.0,Civil
MAGDALENA,2001,1,25,Mujer,23.0,Civil
TOLIMA,2005,3,25,Mujer,11.0,Civil
ANTIOQUIA,2001,4,10,Mujer,25.0,Civil
CAUCA,2006,5,5,Mujer,27.0,Civil
ANTIOQUIA,2000,1,13,Mujer,22.0,Civil
NORTE DE SANTANDER,2003,7,3,Mujer,20.0,Civil
NARINO,2015,6,8,Mujer,46.0,Civil
CAUCA,2001,1,18,Mujer,17.0,Civil
CHOCO,2012,1,9,Mujer,17.0,Civil
ANTIOQUIA,2001,3,3,Mujer,19.0,Civil
MAGDALENA,2004,9,11,Mujer,10.0,Civil
NORTE DE SANTANDER,2003,12,27,Mujer,16.0,Civil
SIN INFORMACION,0,0,0,Mujer,21.0,Civil
MAGDALENA,2003,3,22,Mujer,40.0,Civil
QUINDIO,2006,7,27,Mujer,13.0,Civil
HUILA,2012,12,10,Mujer,29.0,Civil
ANTIOQUIA,1996,9,1,Mujer,14.0,Civil
VALLE DEL CAUCA,1999,11,1,Hombre,12.0,Civil
CUNDINAMARCA,2003,2,4,Mujer,21.0,Civil
ANTIOQUIA,2003,10,3,Mujer,15.0,Civil
TOLIMA,1994,4,26,Mujer,17.0,Civil
LA GUAJIRA,2014,11,23,Mujer,24.0,Civil
TOLIMA,2009,1,24,Mujer,15.0,Civil
ANTIOQUIA,1999,3,10,Mujer,16.0,Civil
ANTIOQUIA,1995,12,19,Mujer,28.0,Civil
META,2003,9,1,Mujer,26.0,Civil
MAGDALENA,2002,7,20,Mujer,9.0,Civil
PUTUMAYO,2002,6,27,Mujer,27.0,Civil
NARINO,2002,3,13,Mujer,18.0,Civil
CAUCA,2005,1,1,Mujer,23.0,Civil
ANTIOQUIA,1999,10,12,Mujer,23.0,Civil
PUTUMAYO,2004,3,15,Mujer,37.0,Civil
MAGDALENA,2003,4,24,Mujer,39.0,Civil
NARINO,2004,7,15,Mujer,19.0,Civil
NORTE DE SANTANDER,2001,9,20,Mujer,15.0,Civil
CAUCA,2009,11,1,Mujer,15.0,Civil
MAGDALENA,2001,9,27,Mujer,20.0,Civil
ANTIOQUIA,2003,6,1,Mujer,19.0,Civil
CESAR,1999,3,18,Mujer,19.0,Civil
NARINO,2005,12,7,Mujer,30.0,Civil
LA GUAJIRA,2002,9,24,Hombre,43.0,Civil
ANTIOQUIA,2002,2,23,Mujer,15.0,Civil
PUTUMAYO,1996,8,15,Mujer,32.0,Civil
CAUCA,2004,8,7,Mujer,5.0,Civil
HUILA,2015,3,25,Mujer,80.0,Civil
CESAR,1998,8,19,Mujer,20.0,Civil
CALDAS,1999,3,16,Mujer,16.0,Civil
MAGDALENA,2002,3,19,Mujer,18.0,Civil
BOLIVAR,1998,10,20,Mujer,38.0,Civil
BOLIVAR,2000,6,20,Mujer,13.0,Civil
NARINO,2004,2,10,Mujer,23.0,Civil
ATLANTICO,2011,2,18,Mujer,43.0,Civil
MAGDALENA,2003,4,14,Mujer,32.0,Civil
ANTIOQUIA,2012,11,15,Mujer,11.0,Civil
CAUCA,2005,10,28,Mujer,10.0,Civil
PUTUMAYO,2002,4,12,Mujer,15.0,Civil
CAQUETA,2010,9,27,Mujer,16.0,Civil
CUNDINAMARCA,1990,4,1,Mujer,23.0,Civil
NARINO,2014,9,29,Mujer,28.0,Civil
SANTANDER,1995,11,8,Hombre,41.0,Civil
MAGDALENA,2003,7,3,Mujer,17.0,Civil
PUTUMAYO,2014,5,8,Mujer,34.0,Civil
ANTIOQUIA,2009,1,1,Mujer,27.0,Civil
NARINO,2004,4,1,Mujer,13.0,Civil
SANTANDER,2002,9,1,Mujer,27.0,Civil
BOLIVAR,2003,3,14,Mujer,14.0,Civil
ANTIOQUIA,1995,9,4,Hombre,2.0,Civil
PUTUMAYO,2012,9,9,Mujer,32.0,Civil
LA GUAJIRA,2000,12,3,Mujer,9.0,Civil
ATLANTICO,2015,8,15,Mujer,26.0,Civil
CAUCA,1988,12,1,Mujer,33.0,Civil
MAGDALENA,2003,7,16,Hombre,45.0,Civil
VALLE DEL CAUCA,1999,8,7,Mujer,20.0,Civil
LA GUAJIRA,2004,3,1,Mujer,37.0,Civil
CAUCA,2005,1,1,Mujer,37.0,Civil
MAGDALENA,2004,9,28,Mujer,42.0,Civil
META,2012,10,23,Mujer,14.0,Civil
ANTIOQUIA,2009,1,1,Mujer,11.0,Civil
ANTIOQUIA,2001,2,1,Mujer,17.0,Civil
ANTIOQUIA,2000,11,10,Mujer,22.0,Civil
LA GUAJIRA,2005,6,16,Mujer,30.0,Civil
ANTIOQUIA,2000,2,9,Mujer,28.0,Civil
CAQUETA,2009,1,1,Mujer,13.0,Civil
ATLANTICO,2006,1,2,Mujer,29.0,Civil
BOLIVAR,2000,5,1,Mujer,26.0,Civil
RISARALDA,2008,8,10,Mujer,14.0,Civil
NARINO,2005,12,28,Mujer,26.0,Civil
MAGDALENA,2004,4,1,Mujer,33.0,Civil
ANTIOQUIA,2001,12,30,Mujer,14.0,Civil
NARINO,2005,7,30,Mujer,16.0,Civil
MAGDALENA,2008,8,3,Mujer,14.0,Civil
SANTANDER,1994,3,1,Mujer,12.0,Civil
NARINO,2003,6,23,Mujer,15.0,Civil
GUAVIARE,2006,3,4,Mujer,14.0,Civil
NARINO,2005,1,1,Mujer,30.0,Civil
META,2008,6,1,Mujer,12.0,Civil
CAUCA,1991,1,1,Mujer,21.0,Civil
PUTUMAYO,2003,1,1,Mujer,21.0,Civil
VICHADA,2011,5,5,Mujer,7.0,Civil
SANTANDER,1991,1,1,Mujer,14.0,Civil
MAGDALENA,2004,7,1,Mujer,27.0,Civil
ANTIOQUIA,2002,11,9,Mujer,19.0,Civil
ANTIOQUIA,2013,8,6,Mujer,23.0,Civil
ANTIOQUIA,2003,1,20,Mujer,19.0,Civil
SANTANDER,1990,11,27,Mujer,27.0,Civil
NARINO,1990,5,12,Mujer,27.0,Civil
PUTUMAYO,2006,8,10,Mujer,37.0,Civil
VALLE DEL CAUCA,1997,9,1,Mujer,30.0,Civil
CAQUETA,2002,8,31,Hombre,11.0,Civil
MAGDALENA,2003,2,2,Hombre,22.0,Civil
ANTIOQUIA,2004,10,1,Mujer,19.0,Civil
NARINO,2003,4,1,Mujer,28.0,Civil
CAUCA,2009,6,1,Mujer,24.0,Civil
BOLIVAR,1997,10,9,Mujer,45.0,Civil
ANTIOQUIA,2014,8,3,Mujer,19.0,Civil
CORDOBA,1990,4,5,Mujer,10.0,Civil
MAGDALENA,2009,5,24,Mujer,18.0,Civil
ANTIOQUIA,2009,10,10,Mujer,14.0,Civil
MAGDALENA,2001,5,3,Mujer,16.0,Civil
NARINO,2007,4,19,Mujer,15.0,Civil
VALLE DEL CAUCA,2013,9,4,Mujer,36.0,Civil
ANTIOQUIA,1986,6,1,Mujer,20.0,Civil
TOLIMA,1998,4,10,Mujer,9.0,Civil
BOYACA,1999,1,1,Mujer,13.0,Civil
ANTIOQUIA,1998,4,22,Mujer,13.0,Civil
ANTIOQUIA,1990,5,16,Mujer,15.0,Civil
ANTIOQUIA,1998,12,4,Mujer,33.0,Civil
PUTUMAYO,2002,1,4,Mujer,43.0,Civil
MAGDALENA,1991,5,1,Mujer,7.0,Civil
NORTE DE SANTANDER,1999,9,1,Mujer,24.0,Civil
CESAR,2008,4,12,Mujer,30.0,Civil
CHOCO,2009,1,17,Mujer,29.0,Civil
MAGDALENA,1987,7,11,Mujer,23.0,Civil
ANTIOQUIA,1986,11,1,Mujer,15.0,Civil
CAUCA,2001,4,11,Mujer,18.0,Civil
NORTE DE SANTANDER,2004,10,21,Mujer,13.0,Civil
ANTIOQUIA,2013,5,31,Mujer,28.0,Civil
VALLE DEL CAUCA,2013,11,3,Mujer,50.0,Civil
MAGDALENA,2000,6,5,Mujer,23.0,Civil
CUNDINAMARCA,2007,11,28,Mujer,49.0,Civil
VAUPES,2002,4,3,Mujer,12.0,Civil
NORTE DE SANTANDER,2012,11,2,Mujer,15.0,Civil
ANTIOQUIA,2002,12,8,Mujer,13.0,Civil
BOLIVAR,2002,7,19,Mujer,16.0,Civil
LA GUAJIRA,2002,2,24,Mujer,24.0,Civil
TOLIMA,2014,3,24,Mujer,33.0,Civil
VALLE DEL CAUCA,2000,1,8,Mujer,14.0,Civil
CALDAS,2004,12,16,Mujer,35.0,Civil
MAGDALENA,2001,7,15,Hombre,33.0,Civil
CAUCA,2000,12,1,Mujer,21.0,Civil
ANTIOQUIA,1998,12,31,Mujer,27.0,Civil
PUTUMAYO,2015,9,14,Mujer,25.0,Civil
META,2004,10,19,Mujer,39.0,Civil
BOLIVAR,1987,1,26,Mujer,18.0,Civil
ANTIOQUIA,2003,11,24,Mujer,32.0,Civil
VICHADA,2013,2,1,Mujer,19.0,Civil
CAUCA,1997,8,1,Mujer,14.0,Civil
NARINO,2015,8,11,Mujer,15.0,Civil
CAUCA,2002,6,1,Mujer,22.0,Civil
CHOCO,2006,4,6,Mujer,37.0,Civil
BOLIVAR,2000,7,22,Mujer,37.0,Civil
PUTUMAYO,2014,2,12,Mujer,41.0,Civil
NARINO,1985,7,30,Mujer,24.0,Civil
VALLE DEL CAUCA,2000,11,3,Mujer,20.0,Civil
MAGDALENA,2000,12,18,Mujer,41.0,Civil
ANTIOQUIA,2003,3,13,Mujer,30.0,Civil
ANTIOQUIA,2007,3,29,Mujer,15.0,Civil
PUTUMAYO,2005,8,10,Mujer,11.0,Civil
META,2000,11,29,Mujer,25.0,Civil
ANTIOQUIA,1997,2,10,Mujer,22.0,Civil
NARINO,2008,9,19,Mujer,21.0,Civil
MAGDALENA,2003,6,17,Mujer,22.0,Civil
CESAR,1992,5,6,Mujer,11.0,Civil
PUTUMAYO,2002,9,19,Mujer,35.0,Civil
BOLIVAR,1996,2,1,Mujer,6.0,Civil
CAQUETA,2000,3,12,Mujer,24.0,Civil
SANTANDER,2015,8,2,Mujer,28.0,Civil
CAUCA,2003,6,1,Mujer,23.0,Civil
TOLIMA,2013,3,27,Mujer,16.0,Civil
CESAR,2003,12,31,Mujer,15.0,Civil
ANTIOQUIA,2002,12,15,Mujer,10.0,Civil
TOLIMA,2015,5,23,Mujer,35.0,Civil
SUCRE,1993,9,1,Mujer,12.0,Civil
MAGDALENA,2007,1,8,Mujer,22.0,Civil
PUTUMAYO,2000,1,22,Mujer,9.0,Civil
ANTIOQUIA,2014,6,14,Mujer,12.0,Civil
NORTE DE SANTANDER,2003,3,26,Mujer,44.0,Civil
SIN INFORMACION,2005,11,28,Mujer,33.0,Civil
VALLE DEL CAUCA,2016,1,27,Mujer,25.0,Civil
TOLIMA,2013,3,10,Mujer,18.0,Civil
ANTIOQUIA,1990,3,12,Mujer,12.0,Civil
ANTIOQUIA,2006,11,5,Mujer,23.0,Civil
CAUCA,2000,12,1,Mujer,13.0,Civil
SANTANDER,1994,9,7,Mujer,22.0,Civil
SIN INFORMACION,2012,5,10,Mujer,18.0,Civil
NARINO,2003,6,3,Mujer,17.0,Civil
TOLIMA,2000,8,1,Mujer,19.0,Civil
LA GUAJIRA,2001,1,28,Mujer,38.0,Civil
TOLIMA,2004,6,17,Mujer,28.0,Civil
PUTUMAYO,2005,8,18,Hombre,13.0,Civil
ANTIOQUIA,2006,8,23,Mujer,10.0,Civil
NORTE DE SANTANDER,2000,5,16,Mujer,4.0,Civil
PUTUMAYO,2002,7,10,Mujer,44.0,Civil
ANTIOQUIA,2002,1,21,Mujer,35.0,Civil
CAQUETA,2008,5,20,Mujer,13.0,Civil
CAQUETA,2002,3,22,Mujer,27.0,Civil
NARINO,2013,9,15,Mujer,22.0,Civil
ANTIOQUIA,2000,9,21,Mujer,35.0,Civil
NORTE DE SANTANDER,2003,4,1,Mujer,16.0,Civil
LA GUAJIRA,2014,4,19,Mujer,50.0,Civil
BOLIVAR,1988,7,24,Mujer,15.0,Civil
TOLIMA,2002,3,14,Mujer,31.0,Civil
VALLE DEL CAUCA,2000,3,1,Mujer,13.0,Civil
QUINDIO,2002,7,26,Mujer,23.0,Civil
SUCRE,1990,3,1,Mujer,19.0,Civil
ANTIOQUIA,2000,2,1,Mujer,10.0,Civil
ANTIOQUIA,1998,1,23,Mujer,19.0,Civil
MAGDALENA,2002,1,9,Mujer,15.0,Civil
BOLIVAR,1999,5,17,Mujer,28.0,Civil
MAGDALENA,2005,10,6,Mujer,16.0,Civil
BOLIVAR,2000,3,22,Mujer,24.0,Civil
PUTUMAYO,2003,2,1,Mujer,16.0,Civil
MAGDALENA,2006,12,10,Mujer,46.0,Civil
CAUCA,2009,7,1,Mujer,34.0,Civil
CAUCA,2005,8,13,Mujer,17.0,Civil
CALDAS,2002,6,13,Mujer,16.0,Civil
META,2001,1,7,Mujer,34.0,Civil
CAUCA,2003,10,1,Mujer,24.0,Civil
VALLE DEL CAUCA,2014,7,12,Mujer,39.0,Civil
PUTUMAYO,2008,3,28,Mujer,12.0,Civil
